F1,F2,F3,F4,F5,X,Y,Z,Gesture
867.0,841.0,916.0,903.0,879.0,-1.32,9.22,1.86,ILoveYou
867.0,840.0,916.0,902.0,879.0,-1.4,9.61,2.05,ILoveYou
866.0,843.0,915.0,898.0,880.0,-1.33,10.35,1.35,ILoveYou
865.0,842.0,913.0,897.0,881.0,-0.58,9.74,2.07,ILoveYou
864.0,842.0,911.0,897.0,884.0,0.3,10.11,1.66,ILoveYou
864.0,842.0,911.0,897.0,883.0,0.59,10.19,1.78,ILoveYou
863.0,840.0,912.0,898.0,883.0,-0.32,9.4,2.18,ILoveYou
861.0,840.0,915.0,898.0,882.0,0.4,10.11,2.15,ILoveYou
859.0,840.0,918.0,897.0,881.0,-1.88,9.29,2.0,ILoveYou
859.0,840.0,918.0,897.0,881.0,-1.4,9.03,1.99,ILoveYou
860.0,840.0,914.0,896.0,882.0,-1.73,10.06,1.0,ILoveYou
866.0,840.0,912.0,895.0,883.0,-0.58,9.94,1.54,ILoveYou
864.0,840.0,912.0,895.0,883.0,-1.4,9.62,1.02,ILoveYou
862.0,840.0,914.0,894.0,882.0,-2.6,8.6,-1.26,ILoveYou
861.0,840.0,912.0,894.0,883.0,-1.34,8.08,-2.39,ILoveYou
860.0,840.0,911.0,894.0,884.0,-3.03,6.9,-5.69,ILoveYou
860.0,840.0,912.0,893.0,884.0,-2.81,8.16,-3.14,ILoveYou
859.0,840.0,911.0,894.0,885.0,-1.58,9.34,-0.19,ILoveYou
860.0,840.0,912.0,893.0,886.0,0.77,9.11,1.33,ILoveYou
860.0,840.0,911.0,893.0,886.0,1.27,9.27,1.42,ILoveYou
783.0,839.0,898.0,904.0,884.0,0.9,7.24,7.08,ILoveYou
791.0,837.0,895.0,903.0,890.0,0.25,6.78,8.03,ILoveYou
799.0,839.0,898.0,895.0,896.0,0.26,8.79,6.88,ILoveYou
797.0,838.0,897.0,895.0,894.0,0.24,7.58,7.54,ILoveYou
795.0,838.0,896.0,894.0,893.0,0.06,7.07,8.05,ILoveYou
792.0,837.0,896.0,894.0,891.0,0.22,6.76,8.19,ILoveYou
789.0,837.0,893.0,893.0,890.0,-0.21,7.6,7.68,ILoveYou
788.0,837.0,893.0,891.0,889.0,-0.41,8.13,7.18,ILoveYou
787.0,837.0,894.0,896.0,887.0,3.96,5.58,9.03,ILoveYou
