F1,F2,F3,F4,F5,X,Y,Z,Gesture
851.0,904.0,942.0,895.0,778.0,-0.45,8.93,0.48,Paws_Up
852.0,904.0,942.0,901.0,786.0,0.45,9.73,1.44,Paws_Up
834.0,901.0,936.0,892.0,782.0,0.51,8.98,4.71,Paws_Up
828.0,896.0,913.0,867.0,767.0,0.7,9.56,4.23,Paws_Up
834.0,894.0,916.0,882.0,779.0,0.26,8.84,6.41,Paws_Up
827.0,900.0,942.0,897.0,788.0,-1.1,10.06,-2.36,Paws_Up
836.0,902.0,939.0,900.0,786.0,0.26,9.99,2.83,Paws_Up
853.0,901.0,933.0,909.0,792.0,0.54,9.33,3.72,Paws_Up
793.0,895.0,932.0,902.0,782.0,-1.89,11.15,1.01,Paws_Up
848.0,902.0,942.0,901.0,773.0,2.07,10.12,4.52,Paws_Up
832.0,894.0,932.0,897.0,793.0,-0.03,6.67,1.88,Paws_Up
834.0,899.0,941.0,904.0,797.0,-2.92,13.4,-6.13,Paws_Up
834.0,898.0,931.0,901.0,793.0,-0.46,5.93,3.76,Paws_Up
839.0,900.0,944.0,902.0,789.0,0.19,11.21,-4.43,Paws_Up
826.0,892.0,927.0,895.0,783.0,0.1,8.75,4.88,Paws_Up
871.0,892.0,927.0,901.0,791.0,-0.11,10.12,3.16,Paws_Up
861.0,892.0,927.0,900.0,795.0,-0.13,9.85,2.97,Paws_Up
849.0,891.0,925.0,893.0,791.0,0.33,9.62,3.18,Paws_Up
848.0,891.0,925.0,889.0,787.0,0.65,9.75,3.13,Paws_Up
848.0,890.0,924.0,888.0,779.0,-3.57,10.27,3.99,Paws_Up
926.0,894.0,944.0,914.0,778.0,-2.38,8.5,-2.0,Paws_Up
925.0,893.0,941.0,911.0,788.0,-1.09,9.05,-2.36,Paws_Up
927.0,893.0,940.0,910.0,799.0,3.52,8.03,-0.27,Paws_Up
926.0,892.0,940.0,909.0,802.0,6.19,8.08,0.28,Paws_Up
924.0,891.0,938.0,908.0,799.0,-1.13,9.39,-1.11,Paws_Up
923.0,888.0,938.0,906.0,793.0,-0.89,4.62,0.96,Paws_Up
923.0,891.0,940.0,908.0,795.0,0.8,8.75,-0.24,Paws_Up
925.0,896.0,945.0,914.0,804.0,1.6,9.09,0.39,Paws_Up
924.0,896.0,944.0,914.0,809.0,-3.79,8.87,-2.59,Paws_Up
920.0,892.0,937.0,906.0,802.0,-0.82,9.26,-2.19,Paws_Up
918.0,892.0,935.0,906.0,794.0,2.47,9.44,3.55,Paws_Up
918.0,890.0,934.0,906.0,794.0,3.22,8.35,2.38,Paws_Up
922.0,888.0,935.0,905.0,796.0,3.5,10.24,2.21,Paws_Up
921.0,888.0,935.0,904.0,802.0,3.94,10.29,0.02,Paws_Up
922.0,888.0,935.0,905.0,801.0,3.43,9.26,1.17,Paws_Up
921.0,888.0,935.0,905.0,796.0,3.5,9.31,0.06,Paws_Up
919.0,890.0,936.0,905.0,794.0,1.21,9.41,-0.72,Paws_Up
919.0,889.0,936.0,906.0,797.0,1.41,9.58,-0.58,Paws_Up
919.0,888.0,936.0,907.0,804.0,5.06,8.55,0.97,Paws_Up
918.0,889.0,937.0,907.0,802.0,5.29,7.85,2.93,Paws_Up
935.0,921.0,948.0,934.0,812.0,-1.14,9.4,-0.56,Paws_Up
934.0,921.0,948.0,933.0,824.0,-2.12,6.31,-0.49,Paws_Up
937.0,922.0,949.0,932.0,823.0,1.6,6.55,3.71,Paws_Up
935.0,925.0,942.0,940.0,817.0,-2.16,6.04,-1.78,Paws_Up
935.0,919.0,938.0,935.0,814.0,-0.28,7.42,7.94,Paws_Up
933.0,920.0,940.0,934.0,811.0,-7.1,17.22,-3.97,Paws_Up
932.0,919.0,939.0,933.0,824.0,-4.14,14.49,-3.59,Paws_Up
932.0,919.0,939.0,932.0,826.0,-1.92,8.77,-0.37,Paws_Up
932.0,918.0,938.0,932.0,825.0,-2.32,9.39,-1.13,Paws_Up
934.0,920.0,939.0,934.0,812.0,8.28,7.42,-0.37,Paws_Up
934.0,919.0,940.0,934.0,816.0,6.77,3.88,7.47,Paws_Up
934.0,922.0,939.0,930.0,824.0,-5.74,7.55,1.15,Paws_Up
930.0,919.0,935.0,929.0,827.0,-9.11,4.05,3.39,Paws_Up
928.0,918.0,936.0,931.0,827.0,-8.33,4.7,2.42,Paws_Up
929.0,918.0,948.0,933.0,837.0,0.03,-30.15,-0.31,Paws_Up
930.0,923.0,951.0,934.0,826.0,-9.48,3.49,-0.15,Paws_Up
930.0,918.0,943.0,934.0,828.0,-10.42,-19.31,9.5,Paws_Up
929.0,916.0,943.0,932.0,827.0,5.82,14.58,4.73,Paws_Up
928.0,914.0,941.0,931.0,825.0,2.87,10.71,3.75,Paws_Up
929.0,914.0,940.0,930.0,831.0,-1.0,6.91,4.19,Paws_Up
946.0,917.0,943.0,924.0,796.0,2.3,7.84,-3.07,Paws_Up
945.0,916.0,938.0,921.0,801.0,-2.2,8.84,-2.91,Paws_Up
943.0,915.0,939.0,922.0,808.0,-3.02,8.18,-0.53,Paws_Up
942.0,916.0,941.0,924.0,811.0,0.02,-46.77,-1.23,Paws_Up
940.0,917.0,941.0,926.0,815.0,0.03,-52.71,-52.71,Paws_Up
941.0,916.0,941.0,927.0,813.0,-2.58,9.34,-3.14,Paws_Up
938.0,913.0,939.0,925.0,814.0,4.14,10.57,0.46,Paws_Up
937.0,912.0,941.0,926.0,808.0,-2.91,11.66,-4.63,Paws_Up
937.0,911.0,939.0,925.0,809.0,0.01,8.1,-3.08,Paws_Up
936.0,911.0,938.0,924.0,815.0,1.23,9.17,-0.88,Paws_Up
936.0,910.0,938.0,925.0,821.0,6.95,5.67,-0.27,Paws_Up
935.0,912.0,943.0,926.0,819.0,-7.38,9.5,-0.6,Paws_Up
933.0,913.0,943.0,927.0,814.0,4.56,10.94,-2.29,Paws_Up
937.0,909.0,942.0,929.0,810.0,-3.21,10.09,-0.6,Paws_Up
935.0,932.0,953.0,936.0,817.0,1.05,9.28,-0.25,Paws_Up
935.0,919.0,945.0,934.0,822.0,-1.08,6.07,-3.3,Paws_Up
924.0,914.0,940.0,928.0,815.0,-0.47,8.97,-1.28,Paws_Up
927.0,915.0,942.0,930.0,813.0,-3.99,6.12,-4.67,Paws_Up
927.0,915.0,941.0,929.0,808.0,-2.01,8.46,-2.48,Paws_Up
924.0,914.0,942.0,928.0,810.0,-0.87,8.79,-1.68,Paws_Up
895.0,873.0,922.0,891.0,748.0,-2.12,9.31,-0.13,Paws_Up
895.0,872.0,919.0,890.0,744.0,-0.08,9.57,-0.44,Paws_Up
895.0,873.0,922.0,891.0,748.0,-2.12,9.31,-0.13,Paws_Up
895.0,872.0,919.0,890.0,744.0,-0.08,9.57,-0.44,Paws_Up
918.0,874.0,938.0,889.0,742.0,-4.1,6.31,-8.34,Paws_Up
